Season,Round,Race,Circuit,Driver,Constructor,Position,Q1,Q2,Q3
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Räikkönen,Alfa Romeo,14,1:31.547,1:31.238,
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Russell,Williams,15,1:31.316,1:33.430,
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Ocon,Alpine F1 Team,16,1:31.724,,
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Latifi,Williams,17,1:31.936,,
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Vettel,Aston Martin,18,1:32.056,,
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Schumacher,Haas F1 Team,19,1:32.449,,
2021,1,Bahrain Grand Prix,Bahrain International Circuit,Mazepin,Haas F1 Team,20,1:33.273,,
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Hamilton,Mercedes,1,1:14.823,1:14.817,1:14.411
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Pérez,Red Bull,2,1:15.395,1:14.716,1:14.446
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Verstappen,Red Bull,3,1:15.109,1:14.884,1:14.498
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Leclerc,Ferrari,4,1:15.413,1:14.808,1:14.740
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Gasly,AlphaTauri,5,1:15.548,1:14.927,1:14.790
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Ricciardo,McLaren,6,1:15.669,1:15.033,1:14.826
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Norris,McLaren,7,1:15.009,1:14.718,1:14.875
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Bottas,Mercedes,8,1:14.672,1:14.905,1:14.898
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Ocon,Alpine F1 Team,9,1:15.385,1:15.117,1:15.210
2021,2,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Stroll,Aston Martin,10,1:15.522,1:15.138,
